title,name,location,time,verified,review,aircraft_model,traveller_type,seat_type,route,date_flown,overal_rating,Seat_comfort_rating,cabin_staff,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommended
,,United Kingdom,2026-07-09,True,Business Class,Solo Leisure,Solo Leisure,Business Class,,July 2026,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,3,3,5,3,0
,,Qatar,2026-06-24,True,Economy Class,Family Leisure,Family Leisure,Economy Class,,June 2026,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Qatar,2026-06-06,True,Business Class,A350-1000,Couple Leisure,Business Class,,May 2026,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,3,3,5,3,0
,,Qatar,2026-06-06,True,Business Class,A330-200,Couple Leisure,Business Class,,May 2026,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,3,3,5,3,0
,,France,2026-05-29,True,Economy Class,Boeing 777-300ER,Business,Economy Class,,May 2026,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Qatar,2026-05-21,True,Business Class,Solo Leisure,Solo Leisure,Business Class,,May 2026,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Qatar,2026-05-19,True,Business Class,Boeing 777-300,Couple Leisure,Business Class,,May 2026,8/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,3,3,5,3,0
,,Thailand,2026-05-14,True,Business Class,Boeing 789/ / 777-300,Solo Leisure,Business Class,,May 2026,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Qatar,2026-05-11,True,Business Class,Boeing 777,Couple Leisure,Business Class,,May 2026,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Qatar,2026-04-09,True,Business Class,Boeing 787-9,Family Leisure,Business Class,,April 2026,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,3,3,5,3,0
,,Qatar,2026-04-06,False,Business Class,Boeing 787-9,Family Leisure,Business Class,,April 2026,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Czech Republic,2026-03-15,True,Economy Class,A380-800,Couple Leisure,Economy Class,,February 2026,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",,3,3,5,3,0
,,Netherlands,2026-03-15,True,Business Class,A350/A380,Solo Leisure,Business Class,,February 2026,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,United Kingdom,2026-02-18,True,Economy Class,Boeing 87,Business,Economy Class,,February 2026,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,3,3,5,3,0
,,United Kingdom,2026-02-08,True,Business Class,Couple Leisure,Couple Leisure,Business Class,,February 2026,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Austria,2026-02-05,True,Business Class,Boeing 777-300 / A350-900,Couple Leisure,Business Class,,February 2026,2/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,3,3,5,3,0
,,Ireland,2026-01-30,True,Business Class,Business,Business,Business Class,,January 2026,2/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",,3,3,5,3,0
,,Iceland,2026-01-24,True,Business Class,Boeing 787-8,Solo Leisure,Business Class,,January 2026,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,3,3,5,3,0
,,Iceland,2026-01-24,True,Business Class,Boeing 787-9,Solo Leisure,Business Class,,January 2026,4/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",1.0,3,3,5,3,0
